id	name	chi2	pval
152	4.1-ngram.next_system_utterance__help	103.7846	0.0000
153	7-syntactic_feature__obj_word__next_system_utterance__you	102.3897	0.0000
154	5-phrase_feature__noun_phrases__next_system_utterance__noodle	101.5473	0.0000
155	5-phrase_feature__noun_phrases__next_system_utterance__noodle_bar	101.5473	0.0000
156	5-phrase_feature__noun_phrases__next_system_utterance__wheatsheaf	100.2264	0.0000
157	5-phrase_feature__noun_phrases__next_system_utterance__bakers	99.3059	0.0000
158	8.1-lda_feature.next_user_utterance__topic_25	99.2539	0.0000
159	6-entity_feature__entity__next_system_utterance__2_pounds_MONEY	99.1837	0.0000
160	4.1-ngram.next_system_utterance__looking example	98.6062	0.0000
161	4.1-ngram.next_system_utterance__kind	98.6062	0.0000
162	4.1-ngram.next_system_utterance__like	97.5172	0.0000
163	7-syntactic_feature__root_word__next_user_utterance__yes	96.8990	0.0000
164	8.1-lda_feature.next_system_utterance__topic_0	95.9078	0.0000
165	8.1-lda_feature.current_user_utterance__topic_20	95.2398	0.0000
166	5-phrase_feature__noun_phrases__current_user_utterance__postcode	95.0997	0.0000
167	5-phrase_feature__noun_phrases__next_user_utterance__looking	94.4430	0.0000
168	5-phrase_feature__noun_phrases__next_user_utterance__pub	94.0381	0.0000
169	6-entity_feature__entity__next_system_utterance__50_NUMBER	93.3369	0.0000
170	4.1-ngram.next_user_utterance__yes	92.3707	0.0000
171	8.1-lda_feature.next_user_utterance__topic_20	91.6521	0.0000
172	4.1-ngram.next_user_utterance__whats	90.8879	0.0000
173	5-phrase_feature__noun_phrases__next_system_utterance__chesterton_area	90.4161	0.0000
174	6-entity_feature__entity__next_system_utterance__4_pounds_MONEY	89.9967	0.0000
175	7-syntactic_feature__root_word__next_system_utterance__care	89.5537	0.0000
176	5-phrase_feature__noun_phrases__next_user_utterance__fen_ditton	89.4982	0.0000
177	5-phrase_feature__noun_phrases__next_user_utterance__ditton	89.4982	0.0000
178	5-phrase_feature__noun_phrases__next_system_utterance__church	88.5346	0.0000
179	2.1-user_action_words.next_user_utterance__area	88.3675	0.0000
180	5-phrase_feature__noun_phrases__next_user_utterance__fen	87.4153	0.0000
181	5-phrase_feature__noun_phrases__next_user_utterance__area	87.3669	0.0000
182	8.1-lda_feature.next_user_utterance__topic_33	87.3650	0.0000
183	5-phrase_feature__noun_phrases__next_system_utterance__postcode_cb2	87.1312	0.0000
184	5-phrase_feature__noun_phrases__next_system_utterance__cb2	87.1312	0.0000
185	5-phrase_feature__noun_phrases__next_system_utterance__burger	87.0594	0.0000
