id,name,prefix,chi2,pval
10011,b'4.1-ngram.next_user_utterance__like address',b'4.1',0.9626,0.8103
10012,b'4.1-ngram.next_user_utterance__uh',b'4.1',0.9618,0.8105
10013,b'4.1-ngram.next_system_utterance__phone number 01223902126',b'4.1',0.9607,0.8108
10014,b'4.1-ngram.next_system_utterance__number 01223902126 price',b'4.1',0.9607,0.8108
10015,b'4.1-ngram.next_system_utterance__hughes hall williams',b'4.1',0.9607,0.8108
10016,b'4.1-ngram.next_user_utterance__non vegetarian',b'4.1',0.9588,0.8112
10017,b'4.1-ngram.next_user_utterance__northern',b'4.1',0.9588,0.8112
10018,b'4.1-ngram.next_system_utterance__contemporary vegetarian',b'4.1',0.9583,0.8113
10019,b'4.1-ngram.next_system_utterance__town serves contemporary',b'4.1',0.9525,0.8127
10020,b'4.1-ngram.next_system_utterance__phone number 01223902103',b'4.1',0.9525,0.8128
10021,b'4.1-ngram.next_system_utterance__saints church museum',b'4.1',0.9525,0.8128
10022,b'4.1-ngram.next_system_utterance__number 01223902104',b'4.1',0.9525,0.8128
10023,b'4.1-ngram.next_system_utterance__01223902124 price main',b'4.1',0.9495,0.8135
10024,b'4.1-ngram.next_system_utterance__01223902124 price',b'4.1',0.9495,0.8135
