id,name,prefix,chi2,pval
143,b'6-entity_feature__entity__next_system_utterance__theresa_PERSON',b'6',87.5435,0.0000
144,b'4.1-ngram.next_system_utterance__solution n8 active',b'4.1',85.8791,0.0000
145,b'7-syntactic_feature__root_word__next_system_utterance__person',b'7',85.1059,0.0000
146,b'4.1-ngram.next_system_utterance__half n12',b'4.1',84.2551,0.0000
147,b'4.1-ngram.next_system_utterance__half n10 baby',b'4.1',84.2551,0.0000
148,b'7-syntactic_feature__obj_word__next_system_utterance__moo',b'7',82.8846,0.0000
149,b'6-entity_feature__entity__next_system_utterance__lynne_PERSON',b'6',82.6971,0.0000
150,b'4.1-ngram.current_user_utterance__cleaning 12',b'4.1',82.0707,0.0000
151,b"5-phrase_feature__noun_phrases__next_system_utterance__n'show_members",b'5',81.7769,0.0000
152,b'5-phrase_feature__noun_phrases__current_user_utterance__ish',b'5',81.6071,0.0000
153,b'4.1-ngram.next_system_utterance__did mean remove',b'4.1',80.2682,0.0000
154,b'6-entity_feature__entity__next_system_utterance__1 hour_DURATION',b'6',80.2369,0.0000
155,b'4.1-ngram.current_user_utterance__remember',b'4.1',80.0008,0.0000
156,b'4.1-ngram.next_system_utterance__yellow onion bag',b'4.1',79.9252,0.0000
157,b'6-entity_feature__entity__next_system_utterance__14_NUMBER',b'6',79.7603,0.0000
158,b"5-phrase_feature__noun_phrases__next_system_utterance__'till_jun",b'5',79.7603,0.0000
159,b'6-entity_feature__entity__next_system_utterance__at 1:22 pm_TIME',b'6',79.7603,0.0000
160,b'4.1-ngram.next_user_utterance__thursday 30',b'4.1',79.3643,0.0000
161,b'7-syntactic_feature__root_word__next_system_utterance__salmon',b'7',77.6087,0.0000
162,b'5-phrase_feature__noun_phrases__next_user_utterance__time_tomorrow',b'5',76.4376,0.0000
163,b'4.1-ngram.next_system_utterance__tissue',b'4.1',76.3495,0.0000
164,b'4.1-ngram.next_system_utterance__half n3 dial',b'4.1',76.3495,0.0000
165,b'4.1-ngram.next_system_utterance__parsnips n10 rutabaga',b'4.1',76.3495,0.0000
166,b'4.1-ngram.next_system_utterance__tissues',b'4.1',76.3495,0.0000
167,b'4.1-ngram.next_system_utterance__party',b'4.1',76.3495,0.0000
168,b'5-phrase_feature__noun_phrases__next_system_utterance__shelley',b'5',76.1704,0.0000
169,b'6-entity_feature__entity__next_system_utterance__at 10 am_TIME',b'6',75.4720,0.0000
170,b'5-phrase_feature__noun_phrases__next_system_utterance__shells',b'5',75.2549,0.0000
171,b'6-entity_feature__entity__next_system_utterance__kiran_PERSON',b'6',74.9901,0.0000
